tag_id,stap_s,stap_t,lat_s,lon_s,lat_t,lon_t,s,t,j,start,end,n,distance,bearing,gs_u,gs_v,ws_u,ws_v
5CF,47,48,61.5,88.1,62.28616,88.97598,1509208,1544484,9,2022-05-28T16:30:00Z,2022-05-28T18:30:00Z,1,98.98051553903468,27.346525979163403,20.6985411097636,44.655111079420045,8.834754556274422,5.953330343627932
5CF,47,48,61.9,89.9,62.28616,88.97598,1511411,1544484,10,2022-05-28T16:30:00Z,2022-05-28T18:30:00Z,1,64.66769004623363,312.1275118826873,-25.872174120875727,22.463314927674215,3.658506509399418,9.771796554565437
5D6,1,2,37.04525798,101.722533,35.8125,105.0625,13168,69474,1,2021-10-18T13:30:00Z,2021-10-18T18:30:00Z,1,329.2385124575729,113.54954539352332,60.926673857859775,-26.758494468414746,-10.346090689819324,0.9154520199096728
5D6,1,2,37.04525798,101.722533,36.0625,104.9375,13168,69224,2,2021-10-18T13:30:00Z,2021-10-18T18:30:00Z,1,307.7788152865664,109.78822440644097,60.926673857859775,-26.758494468414746,-10.346090689819324,0.9154520199096728
5D6,1,2,37.04525798,101.722533,36.3125,104.6875,13168,68726,3,2021-10-18T13:30:00Z,2021-10-18T18:30:00Z,1,277.20189347582453,106.16791730240539,58.48398990689961,-21.271658486547047,-9.420057866381828,1.350092247253423
5D6,1,2,37.04525798,101.722533,36.0625,105.0625,13168,69472,4,2021-10-18T13:30:00Z,2021-10-18T18:30:00Z,1,318.26669006601765,109.03696191893209,53.813444094584185,-15.853552870599083,-8.336797307006835,0.07375494803467399
5D6,1,2,37.04525798,101.722533,36.1875,104.9375,13168,69223,5,2021-10-18T13:30:00Z,2021-10-18T18:30:00Z,1,302.9236323824259,107.34910524291064,60.73246729500336,-21.19385806731591,-10.513047791381828,1.2222203597534234
5D6,1,2,37.04525798,101.722533,36.4375,104.9375,13168,69221,6,2021-10-18T13:30:00Z,2021-10-18T18:30:00Z,1,294.93384143687047,102.25324553836253,60.73246729500336,-21.19385806731591,-10.513047791381828,1.2222203597534234
5D6,1,2,37.04525798,101.722533,36.0625,105.0625,13168,69472,7,2021-10-18T13:30:00Z,2021-10-18T18:30:00Z,1,318.26669006601765,109.03696191893209,58.39020947577449,-18.48930090896423,-8.98317309528808,0.686780237878423
5D6,1,2,37.04525798,101.722533,36.1875,105.0625,13168,69471,8,2021-10-18T13:30:00Z,2021-10-18T18:30:00Z,1,313.55722408037195,106.66962417338493,58.20209919223875,-12.924604404043972,-7.004292667163083,1.227418773815923
5D6,1,2,37.04525798,101.722533,35.8125,105.0625,13168,69474,9,2021-10-18T13:30:00Z,2021-10-18T18:30:00Z,1,329.2385124575729,113.54954539352332,60.63507873312491,-18.411549904129,-10.076163020288078,0.5589083503784233
5D6,1,2,37.04525798,101.722533,35.8125,104.9375,13168,69226,10,2021-10-18T13:30:00Z,2021-10-18T18:30:00Z,1,319.078690928263,114.42316575795348,58.67100131926549,-26.83639225670712,-9.188456858569326,1.1103725011596723
5D6,2,3,35.8125,105.0625,34.9375,109.3125,69474,127513,1,2021-10-24T13:30:00Z,2021-10-24T23:30:00Z,1,398.1730366961319,102.87322749805071,38.773883931570296,-8.904553434484509,-2.402027699029542,10.043105907760621
