tag_id,stap_id,type,lat,lon,ind,j,interp,known
56C,17,simulation,19.4375,105.5625,20997,5,,FALSE
56C,17,simulation,16.9375,104.0625,18041,6,,FALSE
56C,17,simulation,17.8125,106.3125,22498,7,,FALSE
56C,17,simulation,18.0625,104.8125,19520,8,,FALSE
56C,17,simulation,16.9375,103.6875,17297,9,,FALSE
56C,17,simulation,17.0625,102.1875,14320,10,,FALSE
56C,18,simulation,20.3125,105.8125,21486,1,,FALSE
56C,18,simulation,21.5625,105.3125,20484,2,,FALSE
56C,18,simulation,21.8125,106.0625,21970,3,,FALSE
56C,18,simulation,22.3125,105.8125,21470,4,,FALSE
56C,18,simulation,18.9375,105.6875,21249,5,,FALSE
56C,18,simulation,20.6875,105.5625,20987,6,,FALSE
56C,18,simulation,19.9375,105.9375,21737,7,,FALSE
56C,18,simulation,20.9375,105.4375,20737,8,,FALSE
56C,18,simulation,20.0625,105.5625,20992,9,,FALSE
56C,18,simulation,20.4375,105.8125,21485,10,,FALSE
56C,19,simulation,21.1875,106.8125,23463,1,,FALSE
56C,19,simulation,20.6875,105.3125,20491,2,,FALSE
56C,19,simulation,21.4375,106.5625,22965,3,,FALSE
56C,19,simulation,21.4375,105.9375,21725,4,,FALSE
56C,19,simulation,21.5625,105.9375,21724,5,,FALSE
56C,19,simulation,21.6875,105.4375,20731,6,,FALSE
56C,19,simulation,21.6875,105.8125,21475,7,,FALSE
56C,19,simulation,22.0625,105.0625,19984,8,,FALSE
56C,19,simulation,21.5625,107.8125,25444,9,,FALSE
56C,19,simulation,21.5625,106.6875,23212,10,,FALSE
56C,20,simulation,24.1875,106.8125,23439,1,,FALSE
56C,20,simulation,23.6875,106.0625,21955,2,,FALSE
56C,20,simulation,23.6875,107.0625,23939,3,,FALSE
56C,20,simulation,23.6875,107.0625,23939,4,,FALSE
56C,20,simulation,24.0625,106.6875,23192,5,,FALSE
56C,20,simulation,23.9375,106.5625,22945,6,,FALSE
56C,20,simulation,23.1875,107.6875,25183,7,,FALSE
56C,20,simulation,23.8125,108.1875,26170,8,,FALSE
56C,20,simulation,23.8125,107.1875,24186,9,,FALSE
56C,20,simulation,23.8125,107.9375,25674,10,,FALSE
56C,21,simulation,28.0625,111.0625,31840,1,,FALSE
56C,21,simulation,22.0625,106.5625,22960,2,,FALSE
56C,21,simulation,22.6875,105.6875,21219,3,,FALSE
56C,21,simulation,25.4375,106.9375,23677,4,,FALSE
56C,21,simulation,23.6875,108.9375,27659,5,,FALSE
56C,21,simulation,25.0625,109.8125,29384,6,,FALSE
56C,21,simulation,23.5625,110.6875,31132,7,,FALSE
56C,21,simulation,25.4375,107.0625,23925,8,,FALSE
56C,21,simulation,23.6875,110.3125,30387,9,,FALSE
56C,21,simulation,23.5625,111.8125,33364,10,,FALSE
56C,22,simulation,28.3125,111.4375,32582,1,,FALSE
56C,22,simulation,23.5625,107.1875,24188,2,,FALSE
56C,22,simulation,24.8125,107.4375,24674,3,,FALSE
56C,22,simulation,24.8125,107.6875,25170,4,,FALSE
56C,22,simulation,24.5625,108.9375,27652,5,,FALSE
56C,22,simulation,26.5625,109.0625,27884,6,,FALSE
56C,22,simulation,23.5625,109.1875,28156,7,,FALSE
56C,22,simulation,25.0625,107.3125,24424,8,,FALSE
56C,22,simulation,24.0625,107.4375,24680,9,,FALSE
56C,22,simulation,26.6875,110.6875,31107,10,,FALSE
56C,23,simulation,31.6875,106.1875,22139,1,,FALSE
56C,23,simulation,24.0625,106.3125,22448,2,,FALSE
56C,23,simulation,27.9375,104.1875,18201,3,,FALSE
56C,23,simulation,27.1875,106.3125,22423,4,,FALSE
56C,23,simulation,27.8125,108.3125,26386,5,,FALSE
56C,23,simulation,27.9375,106.0625,21921,6,,FALSE
56C,23,simulation,27.5625,107.5625,24900,7,,FALSE
56C,23,simulation,29.3125,109.0625,27862,8,,FALSE
56C,23,simulation,27.6875,104.6875,19195,9,,FALSE
56C,23,simulation,29.8125,107.3125,24386,10,,FALSE
56C,24,simulation,,,,1,,FALSE
56C,24,simulation,,,,2,,FALSE
56C,24,simulation,,,,3,,FALSE
56C,24,simulation,,,,4,,FALSE
56C,24,simulation,,,,5,,FALSE
56C,24,simulation,,,,6,,FALSE
56C,24,simulation,,,,7,,FALSE
56C,24,simulation,,,,8,,FALSE
56C,24,simulation,,,,9,,FALSE
56C,24,simulation,,,,10,,FALSE
56C,25,simulation,,,,1,,FALSE
56C,25,simulation,,,,2,,FALSE
56C,25,simulation,,,,3,,FALSE
56C,25,simulation,,,,4,,FALSE
56C,25,simulation,,,,5,,FALSE
56C,25,simulation,,,,6,,FALSE
56C,25,simulation,,,,7,,FALSE
56C,25,simulation,,,,8,,FALSE
56C,25,simulation,,,,9,,FALSE
56C,25,simulation,,,,10,,FALSE
56C,26,simulation,37.01987498,101.585549,12920,1,,TRUE
56C,26,simulation,37.01987498,101.585549,12920,2,,TRUE
56C,26,simulation,37.01987498,101.585549,12920,3,,TRUE
56C,26,simulation,37.01987498,101.585549,12920,4,,TRUE
56C,26,simulation,37.01987498,101.585549,12920,5,,TRUE
56C,26,simulation,37.01987498,101.585549,12920,6,,TRUE
56C,26,simulation,37.01987498,101.585549,12920,7,,TRUE
56C,26,simulation,37.01987498,101.585549,12920,8,,TRUE
56C,26,simulation,37.01987498,101.585549,12920,9,,TRUE
56C,26,simulation,37.01987498,101.585549,12920,10,,TRUE
5CF,1,simulation,62.28616,88.97598,984,1,,TRUE
5CF,1,simulation,62.28616,88.97598,984,2,,TRUE
5CF,1,simulation,62.28616,88.97598,984,3,,TRUE
5CF,1,simulation,62.28616,88.97598,984,4,,TRUE
5CF,1,simulation,62.28616,88.97598,984,5,,TRUE
5CF,1,simulation,62.28616,88.97598,984,6,,TRUE
5CF,1,simulation,62.28616,88.97598,984,7,,TRUE
5CF,1,simulation,62.28616,88.97598,984,8,,TRUE
5CF,1,simulation,62.28616,88.97598,984,9,,TRUE
5CF,1,simulation,62.28616,88.97598,984,10,,TRUE
5CF,2,simulation,60.1,91.69999999999999,4425,1,,FALSE
5CF,2,simulation,60.3,92.69999999999999,5649,2,,FALSE
5CF,2,simulation,60.5,92.9,5893,3,,FALSE
5CF,2,simulation,62.1,91.1,3680,4,,FALSE
5CF,2,simulation,61.5,90.9,3438,5,,FALSE
5CF,2,simulation,60.5,94.9,8343,6,,FALSE
5CF,2,simulation,60.3,92.5,5404,7,,FALSE
5CF,2,simulation,60.9,90.30000000000001,2706,8,,FALSE
5CF,2,simulation,60.1,90.69999999999999,3200,9,,FALSE
5CF,2,simulation,60.5,90.9,3443,10,,FALSE
5CF,3,simulation,60.9,92.1,4911,1,,FALSE
5CF,3,simulation,60.5,92.5,5403,2,,FALSE
5CF,3,simulation,60.1,90.9,3445,3,,FALSE
5CF,3,simulation,60.699999999999996,91.1,3687,4,,FALSE
5CF,3,simulation,60.1,91.30000000000001,3935,5,,FALSE
5CF,3,simulation,59.3,94.1,7369,6,,FALSE
5CF,3,simulation,60.1,95.30000000000001,8835,7,,FALSE
5CF,3,simulation,60.3,90.9,3444,8,,FALSE
5CF,3,simulation,60.1,91.5,4180,9,,FALSE
5CF,3,simulation,60.5,90.30000000000001,2708,10,,FALSE
5CF,4,simulation,59.699999999999996,91.9,4672,1,,FALSE
5CF,4,simulation,58.9,92.9,5901,2,,FALSE
5CF,4,simulation,59.5,93.9,7123,3,,FALSE
5CF,4,simulation,60.5,93.5,6628,4,,FALSE
5CF,4,simulation,60.3,92.69999999999999,5649,5,,FALSE
5CF,4,simulation,59.9,93.30000000000001,6386,6,,FALSE
5CF,4,simulation,59.699999999999996,92.5,5407,7,,FALSE
5CF,4,simulation,59.699999999999996,93.30000000000001,6387,8,,FALSE
5CF,4,simulation,59.699999999999996,94.69999999999999,8102,9,,FALSE
