tag_id,stap_id,start,end,known_lat,known_lon,include
5D6,17,2022-04-10T22:30:00Z,2022-04-12T20:30:00Z,,,TRUE
5D6,18,2022-04-12T22:30:00Z,2022-04-19T13:30:00Z,,,TRUE
5D6,19,2022-04-19T21:30:00Z,2022-04-20T12:30:00Z,,,TRUE
5D6,20,2022-04-20T21:30:00Z,2022-04-21T16:30:00Z,,,TRUE
5D6,21,2022-04-21T18:30:00Z,2022-04-24T13:30:00Z,,,TRUE
5D6,22,2022-04-24T18:30:00Z,2022-05-29T23:30:00Z,37.04525798,101.722533,TRUE
5D7,1,2021-08-15T01:00:00Z,2021-10-06T12:30:00Z,37.04525798,101.722533,TRUE
5D7,2,2021-10-06T15:30:00Z,2021-10-07T11:30:00Z,,,TRUE
5D7,3,2021-10-07T14:30:00Z,2021-10-10T12:30:00Z,,,TRUE
5D7,4,2021-10-10T23:30:00Z,2021-10-17T12:30:00Z,,,TRUE
5D7,5,2021-10-17T17:30:00Z,2021-10-31T11:30:00Z,,,TRUE
5D7,6,2021-10-31T17:30:00Z,2021-11-01T14:30:00Z,,,TRUE
5D7,7,2021-11-01T23:30:00Z,2021-11-02T11:30:00Z,,,TRUE
5D7,8,2021-11-02T13:30:00Z,2021-11-02T19:30:00Z,,,TRUE
5D7,9,2021-11-02T21:30:00Z,2021-11-09T11:30:00Z,,,TRUE
5D7,10,2021-11-09T22:30:00Z,2021-11-30T10:30:00Z,,,TRUE
5D7,11,2021-11-30T23:30:00Z,2021-12-01T11:30:00Z,,,FALSE
5D7,12,2021-12-01T20:30:00Z,2021-12-03T15:30:00Z,,,FALSE
5D7,13,2021-12-03T18:30:00Z,2021-12-12T16:30:00Z,,,FALSE
5D7,14,2021-12-12T22:30:00Z,2022-04-14T13:30:00Z,,,TRUE
5D7,15,2022-04-14T22:30:00Z,2022-04-15T12:30:00Z,,,TRUE
5D7,16,2022-04-15T20:30:00Z,2022-04-16T13:30:00Z,,,TRUE
5D7,17,2022-04-16T16:30:00Z,2022-04-19T12:30:00Z,,,TRUE
5D7,18,2022-04-19T19:30:00Z,2022-04-20T12:30:00Z,,,TRUE
5D7,19,2022-04-20T21:30:00Z,2022-04-22T15:30:00Z,,,TRUE
5D7,20,2022-04-22T17:30:00Z,2022-05-01T12:30:00Z,,,TRUE
5D7,21,2022-05-01T22:30:00Z,2022-05-02T12:30:00Z,,,TRUE
5D7,22,2022-05-02T21:30:00Z,2022-05-03T12:30:00Z,,,TRUE
5D7,23,2022-05-03T17:30:00Z,2022-05-04T12:30:00Z,,,TRUE
5D7,24,2022-05-04T19:30:00Z,2022-05-28T23:30:00Z,37.04525798,101.722533,TRUE
5D8,1,2021-08-15T01:00:00Z,2021-10-24T11:30:00Z,37.00182899,101.751121,TRUE
5D8,2,2021-10-24T17:30:00Z,2021-10-26T11:30:00Z,,,TRUE
5D8,3,2021-10-26T21:30:00Z,2021-10-27T15:30:00Z,,,TRUE
5D8,4,2021-10-27T18:30:00Z,2021-11-09T12:30:00Z,,,TRUE
5D8,5,2021-11-09T21:30:00Z,2021-11-24T13:30:00Z,,,TRUE
5D8,6,2021-11-24T22:30:00Z,2021-11-30T11:30:00Z,,,FALSE
5D8,7,2021-11-30T23:30:00Z,2021-12-01T13:30:00Z,,,FALSE
5D8,8,2021-12-01T18:30:00Z,2021-12-02T18:30:00Z,,,FALSE
5D8,9,2021-12-02T20:30:00Z,2021-12-08T13:30:00Z,,,FALSE
5D8,10,2021-12-08T21:30:00Z,2021-12-15T14:30:00Z,,,FALSE
5D8,11,2021-12-15T18:30:00Z,2021-12-16T20:30:00Z,,,FALSE
5D8,12,2021-12-16T22:30:00Z,2022-04-14T14:30:00Z,,,TRUE
5D8,13,2022-04-14T22:30:00Z,2022-04-15T14:30:00Z,,,TRUE
5D8,14,2022-04-15T21:30:00Z,2022-04-17T13:30:00Z,,,TRUE
5D8,15,2022-04-17T17:30:00Z,2022-04-19T13:30:00Z,,,TRUE
5D8,16,2022-04-19T21:30:00Z,2022-04-20T12:30:00Z,,,TRUE
5D8,17,2022-04-20T16:30:00Z,2022-04-23T13:30:00Z,,,TRUE
5D8,18,2022-04-23T19:30:00Z,2022-04-25T13:30:00Z,,,TRUE
5D8,19,2022-04-25T17:30:00Z,2022-04-26T13:30:00Z,,,TRUE
5D8,20,2022-04-26T21:30:00Z,2022-04-27T15:30:00Z,,,TRUE
5D8,21,2022-04-27T17:30:00Z,2022-05-01T12:30:00Z,,,TRUE
5D8,22,2022-05-01T17:30:00Z,2022-05-02T12:30:00Z,,,TRUE
5D8,23,2022-05-02T21:30:00Z,2022-05-03T13:30:00Z,,,TRUE
